species,dispersal_distance_class,dispersal_vector,seed_buoyancy,seed_terminal_velocity,palatability,growth_form,growth_form_aquatic,woodiness,LDMC,SLA,leaf_C,leaf_CN_ratio,leaf_N,leaf_NP_ratio,leaf_P,leaf_chlorophyll,longevity,fruit_type,nectar_production,pollinator_type,seed_bank_persistency,seed_dormancy,seed_longevity_index,seed_mass,RDMC,SRA,SRL,mycorrhiza_colonization_intensity,mycorrhiza_type,root_N,root_P,root_mass_fraction,height,leaf_area,leaf_length,leaf_mass,leaf_thickness,rooting_depth,Grime_strategy,carnivory,leaf_phenology,nitrogen_fixation,parasitism,photosynthetic_pathway
Actaea rubra,5,Bird,0.64,3.62,3,Hemicryptophyte,terrestrial,non-woody,0.23,14.64,405.9,12.6,25.5,5.4,3.5,9.92,4,berry,2,1,2,3,0.09,3.71,0.19,1300.94,100.2,54.4,AM,16.3,1.14,0.455387,18.9,6360.7,29.8,150.1,0.443,0.49,CSR,no,deciduous,no,none,C3
Actaea spicata,6,Bird,0.65,3.82,2,Cryptophyte,terrestrial,non-woody,0.218,15.07,456.2,19.8,23,9.8,2.6,10.29,4,berry,2,1,1,3,0,3.46,0.202,878.74,49.36,58,AM,12.7,1.07,0.445559333333333,17.8,7217.8,34.2,175,0.439,0.48,CS,no,deciduous,no,none,C3
Adonis vernalis,1,Myr,0.75,1.6,2,Hemicryptophyte,terrestrial,non-woody,0.382,5.73,439.3,18.5,28.1,10.5,2.4,5.6,4,achene,3,1,1,3,0,4.27,0.198,1040.72,42.97,51,AM,11.7,0.96,0.541696666666667,9.7,103.1,13.6,10.9,0.488,0.53,CSR,no,deciduous,no,none,C3
Adoxa moschatellina,6,Bird,0.61,3.87,2,Cryptophyte,terrestrial,non-woody,0.135,14.53,434.2,15.7,37.2,9.8,3.9,11.66,4,drupe,3,1,1,3,0,5.38,0.183,979.03,108.14,3.3,AM,15.1,1.13,0.442425333333334,3.3,453,5.9,17.1,0.436,0.48,CSR,no,deciduous,no,none,C3
Aegopodium podagraria,2,Passive,0.68,3.7,4,Cryptophyte,terrestrial,non-woody,0.238,10.92,415.9,16.7,32.1,5.4,3.3,8.04,4,capsule,4,2,2,4,0.19,1.13,0.141,1188.43,399.04,63.3,AM,12.4,1.1,0.565,21.2,4670.4,20.6,268.7,0.445,0.51,C,no,deciduous,no,none,C3
Aesculus hippocastanum,6,Bird,0.6,2.96,4,Phanerophyte,terrestrial,woody,0.3,6.35,462.3,2,23.1,14.4,1.6,6.16,4,capsule,6,2,1,4,0.08,3849.12,0.267,316.46,6.35,100,AM,10.6,0.93,0.236,592.6,3898.3,64.7,411.7,0.419,0.98,C,no,deciduous,no,none,C3
Aethusa cynapium,2,Passive,0.62,2.86,2,Therophyte,terrestrial,non-woody,0.18,12.48,417.8,14.7,34.3,11.7,3.2,10.94,2,capsule,4,0c,3,4,0.59,0.91,0.12,811.89,130.12,70,AM,13.1,1.13,0.324599,17.3,1018.3,33.7,58.7,0.461,0.51,CR,no,deciduous,no,none,C3
Agastache rugosa,2,Passive,0.72,2.83,2,Hemicryptophyte,terrestrial,non-woody,0.191,11.74,426.2,16.1,28,10,2.9,9.76,3,achene,6,1a,3,3,0.29,0.5,0.119,1301.53,430.3,48.7,AM,12.7,1.07,0.334663333333333,20.4,471.8,20.7,17,0.44,0.5,CSR,no,deciduous,no,none,C3
Agrimonia eupatoria,6,Adh,0.57,3.54,3,Hemicryptophyte,terrestrial,non-woody,0.356,6.41,446.3,24.4,16.7,11.5,1.8,6.29,4,achene,2,0c,2,3,0.01,4.28,0.199,867.28,74.8,70,AM,14.6,0.98,0.467326333333333,17,1638.1,22.4,94,0.467,0.57,CR,no,deciduous,no,none,C3
Agrimonia pilosa,6,Passive,0.73,3.11,3,Hemicryptophyte,terrestrial,non-woody,0.252,13.75,415.6,17.8,24,9.4,3.5,8.81,4,achene,3,1,2,3,0.13,6.03,0.18,1130.86,59.89,50.3,AM,25,1.1,0.463674333333334,21.1,326.8,12.8,14.4,0.433,0.5,CSR,no,deciduous,no,none,C3
Agrimonia procera,6,Adh,0.93,3.42,3,Hemicryptophyte,terrestrial,non-woody,0.309,7.53,433.7,19,25.4,11.9,2.2,7.51,4,achene,2,0c,2,3,0.08,8.32,0.165,816.71,67.92,61,AM,15.7,0.99,0.456120666666667,39.6,4469.8,33,246.9,0.443,0.53,CS,no,deciduous,no,none,C3
Agrostemma githago,2,Passive,0.49,5.29,3,Therophyte,terrestrial,non-woody,0.226,6.15,408.6,13.8,39,12.8,3.3,11.27,1,capsule,4,1b,1,1,0.12,5,0.134,774.31,217.9,3.3,None,15.2,1.13,0.318092333333333,22.6,277,31.6,21.6,0.489,0.57,CR,no,evergreen,no,none,C3
Agrostis canina,2,Passive,0.89,1.63,4,Hemicryptophyte,terrestrial,non-woody,0.268,13.28,434.9,20.6,22.8,11.2,3.5,7.05,4,nut,1,0b,3,3,0.34,0.39,0.206,1304.93,136.47,70,AM,8.4,0.92,0.420452,13,31.2,34.4,0.8,0.405,0.46,CSR,no,deciduous,no,none,C3
Agrostis capillaris,2,Passive,0.95,0.75,6,Hemicryptophyte,terrestrial,non-woody,0.295,11.4,445,14.1,25,11.2,2.1,6.42,4,nut,1,0b,4,2,0.32,0.42,0.286,1037.5,35.06,40.4,AM,8.3,0.88,0.3571,12.2,101.4,24.3,4,0.414,0.59,CSR,no,evergreen,no,none,C3
Agrostis clavata,2,Passive,0.91,1.63,4,Hemicryptophyte,terrestrial,non-woody,0.312,8.66,440,23,20.4,11.1,1.9,6.14,3,nut,1,0b,3,2,0.28,0.41,0.224,1328.79,83.97,49,AM,10.1,0.91,0.438479333333334,16,103.6,53.2,5.2,0.419,0.5,CSR,no,deciduous,no,none,C3
Agrostis gigantea,2,Passive,0.9,1.86,8,Hemicryptophyte,terrestrial,non-woody,0.294,9.17,421.2,20.4,21.8,10.6,2.2,7.9,4,nut,1,0b,2,2,0.28,0.4,0.205,1391.73,8214.9,70,AM,9.7,0.88,0.3656,21.1,134.5,41.8,8.8,0.423,0.5,C,no,deciduous,no,none,C3
Agrostis mertensii,1,Passive,0.91,1.8,4,Hemicryptophyte,terrestrial,non-woody,0.306,9.44,447,19.4,23,21.9,1.1,5.86,4,achene,1,0b,3,3,0.3,0.41,0.212,1162.81,65.84,38.7,AM,9.2,0.97,0.403828,3.9,26.1,90.9,1.4,0.405,0.44,CSR,no,evergreen,no,none,C3
